ticker,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,revenueGrowth,earningsGrowth,grossMargins,profitMargins,returnOnAssets,returnOnEquity,currentRatio,debtToEquity,freeCashflow,ebitda
MCHP,41493295104,30.812748,23.796923,6.299175,6.477387,-0.458,-0.802,0.63369,0.20795,0.07251,0.20696,1.939,96.83,1935387520.0,2720900096.0
MSFT,3108199989248,35.467346,27.456337,12.680216,11.578568,0.152,0.097,0.69764,0.35956,0.14802,0.37133,1.275,36.447,56705249280.0,129433001984.0
MAA,18546161664,35.05442,36.983253,8.529535,3.0089924,0.021,-0.307,0.60192,0.23773001,0.03674,0.08469,0.118,76.418,942892096.0,1251019008.0
MOH,16977592320,15.901208,10.908133,0.47050196,3.5295122,0.175,-0.034,0.12587,0.029460002,0.0686,0.25118,1.574,49.226,3250000.0,1700999936.0
TAP,11606167552,10.275229,9.605489,0.97221184,0.9683388,-0.004,0.293,0.39141,0.09791,0.04335,0.0879,0.953,55.463,784662528.0,2558799872.0
MDLZ,95616573440,24.597939,19.994415,2.6577878,3.4568021,-0.019,-0.351,0.40335,0.10971,0.05709,0.14033,0.676,73.039,3507749888.0,7886000128.0
MPWR,44670967808,108.69395,52.569706,23.58309,20.320906,0.15,0.005,0.5531,0.21697001,0.117469996,0.20371,6.767,0.705,453186752.0,494728000.0
MNST,52940894208,33.78125,28.29843,7.1678996,9.06119,0.025,0.051,0.53735,0.22841999,0.14955,0.24615,3.407,13.772,1139860992.0,2149065984.0
MCO,88940748800,48.31454,37.60277,13.568383,23.541374,0.216,0.473,0.73013,0.28345,0.11366,0.5131,1.516,185.449,1811874944.0,3103000064.0
MSI,79282839552,55.57895,32.772415,7.6079874,98.83527,0.094,0.209,0.5059,0.14049,0.13340999,2.51541,1.2,838.8,1866499968.0,3068999936.0
NDAQ,43053772800,43.552326,24.086819,6.5560794,3.9597213,0.251,-0.296,0.65997005,0.14421,0.04262,0.11017,0.938,94.142,1464875008.0,2401999872.0
NTAP,25911193600,24.761251,16.670618,4.063226,27.91924,0.076,0.696,0.71115,0.17014,0.09156,1.2042199,0.958,285.038,1226625024.0,1582000000.0
NFLX,327834861568,43.108917,33.054523,8.721963,14.397806,0.15,0.448,0.45251,0.20701,0.1184,0.34714,1.133,82.551,22079963136.0,9976898560.0
NEE,173430423552,27.485342,22.929346,6.7091074,3.5293622,-0.174,-0.428,0.61327,0.24445,0.02803,0.09078,0.488,139.029,-18709999616.0,14083000320.0
NKE,123426414592,23.759312,25.592592,2.467936,8.866552,-0.104,-0.255,0.44965,0.10599,0.106479995,0.3798,2.356,86.962,6571749888.0,7200999936.0
NI,15760642048,21.55828,18.994595,3.0075266,2.0023932,-0.005,1.107,0.51053,0.14757,0.03066,0.091280006,0.775,137.246,-1951862528.0,2277499904.0
NDSN,14705367040,31.362198,24.704132,5.5184746,5.1529846,0.02,-0.081,0.55067,0.17746,0.09146,0.17406,2.362,56.526,450169760.0,818784000.0
NSC,57059848192,31.945568,18.529367,4.7188096,4.396307,0.021,1.082,0.43847,0.14845,0.06493,0.14013,0.628,139.656,-232500000.0,5577999872.0
